sex,age,treatment,voted,person_id,hh_size,social_pressure_continuous,social_pressure_categorical,voted2,treatment2
"female",56,"Control","Yes",92333,2,3.209487,3,1,0
"male",,"Control","No",123065,2,3.494793,3,0,0
"female",39,"Control","No",139855,3,.2771714,0,0,0
"male",63,"Control","No",11419,2,2.11881,2,0,0
"male",69,"Control","No",59835,2,.6675178,1,0,0
"female",44,"Control","No",123517,2,2.459721,2,0,0
"male",49,"Control","Yes",92897,4,2.998447,3,1,0
"female",78,"Control","No",106066,2,1.753621,2,0,0
"female",52,"Control","No",105128,2,1.601598,2,0,0
"male",33,"Control","Yes",39255,2,2.366608,2,1,0
"male",78,"Control","Yes",27644,2,2.811103,3,1,0
".",86,"Control","No",109329,1,1.445008,1,0,0
"female",62,"Control","No",73154,2,2.953312,3,0,0
"male",44,"Control","No",131734,2,2.152912,2,0,0
"female",49,"Control","No",22064,2,.5804288,1,0,0
"female",55,"Control","No",125830,4,.9262296,1,0,0
"female",37,"Control","No",30447,2,1.998534,2,0,0
"female",51,"Control","No",112438,2,1.179808,1,0,0
"male",47,"Control","Yes",73229,2,5,5,1,0
"female",,"Control","No",172357,2,1.831625,2,0,0
"female",49,"Control","No",21756,2,1.433139,1,0,0
"female",,"Control","No",171366,2,1.20428,1,0,0
"female",43,"Control","No",64552,3,1.232778,1,0,0
"female",59,"Control","No",175234,2,1.23345,1,0,0
"male",49,"Control","Yes",79348,2,4.308608,4,1,0
"male",54,"Control","No",72228,2,2.675678,3,0,0
"female",30,"Control","Yes",12397,2,4.227895,4,1,0
"male",57,"Control","Yes",168203,2,1.855561,2,1,0
"male",55,"Control","No",148257,2,3.606394,4,0,0
"male",52,"Control","Yes",10880,2,3.978458,4,1,0
".",56,"Control","No",130050,2,2.573869,3,0,0
"male",35,"Control","No",139540,2,1.178683,1,0,0
".",46,"Control","No",167915,2,0,0,0,0
"male",20,"Control","No",2880,3,.7624986,1,0,0
"female",38,"Control","Yes",51578,2,3.617896,4,1,0
